fecha;cantidad_pollitas;cantidad_gallinas
31/01/2020;0;0
01/12/2020;1;1

07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;3500;0
07/02/2021;0;0
07/02/2021;1044;0
07/02/2021;0;0
07/02/2021;-1045;0
07/02/2021;0;0
07/02/2021;0;1044
07/02/2021;0;0
07/02/2021;0;-2
07/02/2021;0;0
07/02/2021;0;-3
07/02/2021;0;0
07/02/2021;0;3000
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
07/02/2021;0;0
