fecha;tipo;unidades;cubeta;sobrantes;precio;observacion
29/01/2021;VENCIDO_VENTA;0;3;5;50000;venta a don predo
29/01/2021;PIPO;0;0;0;0;0
29/01/2021;B;0;0;0;0;0
29/01/2021;A;0;0;0;0;0
29/01/2021;AA;0;0;0;0;0
29/01/2021;AAA;0;0;0;0;0
29/01/2021;JUMBO;0;0;0;0;0
29/01/2021;BLANCO;0;0;0;0;0
29/01/2021;VENCIDO_VENTA;0;0;0;0;0
29/01/2021;DESTRUIDOS;0;0;0;0;0
29/01/2021;VENCIDO_VENTA;0;3;5;50000;venta a don predo
29/01/2021;VENCIDO_VENTA;0;3;5;50000;venta a don predo
29/01/2021;VENCIDO_VENTA;0;3;5;50000;venta a don predo
29/01/2021;VENCIDO_VENTA;0;3;5;50000;venta a don predo
29/01/2021;VENCIDO_VENTA;0;3;5;50000;venta a don predo
29/01/2021;VENCIDO_VENTA;0;3;5;50000;venta a don predo
29/01/2021;VENCIDO_VENTA;0;3;5;50000;venta a don predo
29/01/2021;VENCIDO_VENTA;0;3;5;50000;venta a don predo
29/01/2021;VENCIDO_VENTA;0;3;5;50000;venta a don predo
29/01/2021;VENCIDO_VENTA;0;3;5;50000;venta a don predo
29/01/2021;VENCIDO_VENTA;0;3;5;50000;venta a don predo
29/01/2021;VENCIDO_VENTA;0;3;5;50000;venta a don predo
29/01/2021;VENCIDO_VENTA;0;100;5;50000;venta a don predo
29/01/2021;VENCIDO_VENTA;0;13;5;50000;venta a don predo
29/01/2021;VENCIDO_VENTA;0;13;5;50000;venta a don predo
29/01/2021;VENCIDO_VENTA;0;14;5;50000;venta a don predo
29/01/2021;VENCIDO_VENTA;0;15;5;50000;venta a don predo
29/01/2021;VENCIDO_VENTA;0;21;5;50000;venta a don predo
29/01/2021;VENCIDO_VENTA;0;21;5;50000;venta a don predo
29/01/2021;VENCIDO_VENTA;0;11;5;50000;venta a don predo
29/01/2021;VENCIDO_VENTA;0;13;5;50000;venta a don predo
29/01/2021;VENCIDO_VENTA;0;13;70;50000;venta a don predo
29/01/2021;VENCIDO_VENTA;0;13;18;50000;venta a don predo
29/01/2021;VENCIDO_VENTA;0;13;9;50000;venta a don predo
29/01/2021;VENCIDO_VENTA;0;13;18;50000;venta a don predo
29/01/2021;VENCIDO_VENTA;0;13;9;50000;venta a don predo
29/01/2021;VENCIDO_VENTA;0;13;18;50000;venta a don predo
21/01/2021;VENCIDO_VENTA;0;13;9;50000;venta a don predo
21/01/2021;VENCIDO_VENTA;0;13;9;50000;venta a don predo
21/01/2021;VENCIDO_VENTA;0;13;9;50000;venta a don predo
21/01/2021;VENCIDO_VENTA;0;13;9;50000;venta a don predo
21/01/2021;VENCIDO_VENTA;0;13;9;50000;venta a don predo
21/01/2021;VENCIDO_VENTA;0;13;9;50000;venta a don predo
